lambda, I
636.498, 1169.24
636.913, 1021.79
637.329, 1061.58
637.744, 1124.77
638.159, 1040.51
638.574, 972.64
638.99, 911.78
639.405, 937.53
639.82, 944.55
640.235, 925.83
640.65, 916.47
641.064, 876.68
641.479, 864.97
641.894, 799.44
642.309, 939.87
642.723, 874.34
643.138, 862.63
643.552, 895.4
643.967, 904.76
644.381, 960.94
644.796, 965.62
645.21, 930.51
645.624, 867.31
646.038, 881.36
646.453, 904.76
646.867, 883.7
647.281, 942.21
647.695, 890.72
648.109, 879.02
648.523, 932.85
648.936, 951.57
649.35, 1227.76
649.764, 1520.32
650.178, 1571.82
650.591, 1733.31
651.005, 1901.83
651.418, 1857.36
651.832, 1840.98
652.245, 1581.18
652.659, 1389.25
653.072, 1333.08
653.485, 1180.95
653.898, 1190.31
654.312, 1202.01
654.725, 1073.28
655.138, 1026.47
655.551, 930.51
655.964, 949.23
656.377, 881.36
656.789, 872
657.202, 862.63
657.615, 942.21
658.028, 956.26
658.44, 883.7
658.853, 902.42
659.265, 822.84
659.678, 839.23
660.09, 822.84
660.503, 750.29
660.915, 909.44
661.327, 930.51
661.739, 942.21
662.152, 1099.03
662.564, 1248.82
662.976, 1206.69
663.388, 1279.25
663.8, 1115.41
664.211, 1152.86
664.623, 904.76
665.035, 818.16
665.447, 806.46
665.858, 710.5
666.27, 766.67
666.682, 740.93
667.093, 651.99
667.505, 710.5
667.916, 724.54
668.327, 752.63
668.739, 705.82
669.15, 684.75
669.561, 752.63
669.972, 666.03
670.383, 647.3
670.794, 703.48
671.205, 682.41
671.616, 736.24
672.027, 673.05
672.438, 677.73
672.849, 616.88
673.259, 659.01
673.67, 680.07
674.08, 560.7
674.491, 680.07
674.901, 644.96
675.312, 666.03
675.722, 614.54
676.133, 607.52
676.543, 633.26
676.953, 588.79
677.363, 574.75
677.773, 609.86
678.183, 654.33
678.593, 614.54
679.003, 588.79
679.413, 605.17
679.823, 663.69
680.233, 584.11
680.643, 591.13
681.052, 630.92
681.462, 609.86
681.872, 616.88
682.281, 628.58
682.691, 574.75
683.1, 661.35
683.509, 630.92
683.919, 579.43
684.328, 602.83
684.737, 614.54
685.146, 605.17
685.555, 591.13
685.964, 719.86
686.373, 778.37
686.782, 815.82
687.191, 970.3
687.6, 902.42
688.009, 1033.49
688.417, 1084.98
688.826, 1047.54
689.235, 965.62
689.643, 815.82
690.052, 694.12
690.46, 588.79
690.869, 715.18
691.277, 551.34
691.685, 495.17
692.093, 616.88
692.502, 644.96
692.91, 591.13
693.318, 705.82
693.726, 752.63
694.134, 766.67
694.542, 766.67
694.949, 766.67
695.357, 759.65
695.765, 539.64
696.173, 579.43
696.58, 513.89
696.988, 532.62
697.395, 476.45
697.803, 488.15
698.21, 467.08
698.618, 527.94
699.025, 396.87
699.432, 396.87
699.839, 504.53
700.247, 424.95
700.654, 492.83
701.061, 478.79
701.468, 520.92
701.875, 499.85
702.281, 497.51
702.688, 488.15
703.095, 556.02
703.502, 619.22
703.908, 656.67
704.315, 602.83
704.722, 757.31
705.128, 867.31
705.534, 911.78
705.941, 1094.35
706.347, 1297.97
706.753, 1379.89
707.16, 1606.92
707.566, 1826.93
707.972, 1871.4
708.378, 1845.66
708.784, 1929.92
709.19, 1812.89
709.596, 1670.12
710.002, 1660.76
710.407, 1632.67
710.813, 1548.41
711.219, 1494.58
711.625, 1386.91
712.03, 1326.06
712.436, 1316.7
712.841, 1391.59
713.246, 1344.78
713.652, 1230.1
714.057, 1274.57
714.462, 1054.56
714.868, 829.87
715.273, 605.17
715.678, 539.64
716.083, 560.7
716.488, 460.06
716.893, 450.7
717.297, 516.23
717.702, 446.02
718.107, 448.36
718.512, 382.82
718.916, 392.19
719.321, 434.32
719.725, 380.48
720.13, 368.78
720.534, 373.46
720.939, 368.78
721.343, 408.57
721.747, 441.34
722.151, 446.02
722.556, 387.5
722.96, 422.61
723.364, 464.74
723.768, 396.87
724.172, 441.34
724.576, 408.57
724.979, 364.1
725.383, 328.99
725.787, 366.44
726.19, 406.23
726.594, 469.42
726.998, 424.95
727.401, 359.42
727.805, 364.1
728.208, 431.98
728.611, 354.74
729.014, 375.8
729.418, 422.61
729.821, 415.59
730.224, 368.78
730.627, 368.78
731.03, 481.13
731.433, 387.5
731.836, 399.21
732.239, 408.57
732.641, 380.48
733.044, 380.48
733.447, 399.21
733.849, 394.53
734.252, 408.57
734.654, 366.44
735.057, 375.8
735.459, 361.76
735.862, 382.82
736.264, 436.66
736.666, 378.14
737.068, 401.55
737.47, 413.25
737.872, 368.78
738.274, 464.74
738.676, 394.53
739.078, 410.91
739.48, 373.46
739.882, 343.03
740.284, 389.85
740.685, 424.95
741.087, 368.78
741.488, 434.32
741.89, 333.67
742.291, 446.02
742.693, 469.42
743.094, 427.29
743.495, 347.72
743.897, 399.21
744.298, 399.21
744.699, 387.5
745.1, 366.44
745.501, 434.32
745.902, 389.85
746.303, 394.53
746.704, 389.85
747.105, 439
747.505, 399.21
747.906, 347.72
748.307, 317.29
748.707, 450.7
749.108, 457.72
749.508, 422.61
749.908, 396.87
750.309, 453.04
750.709, 471.76
751.109, 406.23
751.51, 429.63
751.91, 427.29
752.31, 357.08
752.71, 385.16
753.11, 417.93
753.51, 392.19
753.909, 385.16
754.309, 359.42
754.709, 368.78
755.109, 324.31
755.508, 331.33
755.908, 345.38
756.307, 347.72
756.707, 385.16
757.106, 343.03
757.505, 366.44
757.905, 303.25
758.304, 378.14
758.703, 392.19
759.102, 375.8
759.501, 336.01
759.9, 333.67
760.299, 366.44
760.698, 293.88
761.097, 270.48
761.496, 331.33
761.895, 352.4
762.293, 378.14
762.692, 417.93
763.09, 396.87
763.489, 357.08
763.887, 328.99
764.286, 389.85
764.684, 422.61
765.082, 422.61
765.481, 392.19
765.879, 382.82
766.277, 361.76
766.675, 345.38
767.073, 331.33
767.471, 359.42
767.869, 354.74
768.267, 357.08
768.664, 307.93
769.062, 361.76
769.46, 422.61
769.857, 364.1
770.255, 382.82
770.653, 424.95
771.05, 366.44
771.447, 396.87
771.845, 350.06
772.242, 373.46
772.639, 385.16
773.036, 340.69
773.433, 371.12
773.831, 408.57
774.228, 382.82
774.624, 312.61
775.021, 460.06
775.418, 399.21
775.815, 357.08
776.212, 350.06
776.608, 352.4
777.005, 345.38
777.401, 357.08
777.798, 326.65
778.194, 361.76
778.591, 389.85
778.987, 382.82
779.383, 364.1
779.78, 359.42
780.176, 319.63
780.572, 408.57
780.968, 424.95
781.364, 354.74
781.76, 389.85
782.156, 354.74
782.551, 385.16
782.947, 338.35
783.343, 387.5
783.739, 366.44
784.134, 326.65
784.53, 261.12
784.925, 420.27
785.321, 371.12
785.716, 340.69
786.111, 373.46
786.507, 401.55
786.902, 298.56
787.297, 291.54
787.692, 296.22
788.087, 392.19
788.482, 303.25
788.877, 359.42
789.272, 317.29
789.667, 258.78
790.061, 303.25
790.456, 314.95
790.851, 291.54
791.245, 331.33
791.64, 394.53
792.034, 413.25
792.429, 277.5
792.823, 359.42
793.217, 385.16
793.612, 303.25
794.006, 364.1
794.4, 357.08
794.794, 324.31
795.188, 410.91
795.582, 357.08
795.976, 359.42
796.37, 364.1
796.763, 324.31
797.157, 382.82
797.551, 321.97
797.944, 389.85
798.338, 321.97
798.731, 305.59
799.125, 401.55
799.518, 319.63
799.912, 305.59
800.305, 328.99
800.698, 352.4
801.091, 331.33
801.484, 364.1
801.877, 324.31
802.27, 331.33
802.663, 385.16
803.056, 446.02
803.449, 434.32
803.842, 371.12
804.235, 380.48
804.627, 350.06
805.02, 389.85
805.412, 310.27
805.805, 347.72
806.197, 347.72
806.59, 324.31
806.982, 338.35
807.374, 368.78
807.766, 354.74
808.159, 336.01
808.551, 380.48
808.943, 424.95
809.335, 375.8
809.727, 340.69
810.118, 378.14
810.51, 389.85
810.902, 371.12
811.294, 453.04
811.685, 455.38
812.077, 352.4
812.468, 525.6
812.86, 352.4
813.251, 371.12
813.643, 408.57
814.034, 319.63
814.425, 382.82
814.816, 375.8
815.207, 375.8
815.598, 352.4
815.989, 336.01
816.38, 289.2
816.771, 340.69
817.162, 359.42
817.553, 300.91
817.944, 321.97
818.334, 312.61
818.725, 399.21
819.115, 291.54
819.506, 293.88
819.896, 296.22
820.287, 333.67
820.677, 408.57
821.067, 336.01
821.457, 305.59
821.848, 380.48
822.238, 319.63
822.628, 375.8
823.018, 307.93
823.408, 338.35
823.797, 343.03
824.187, 336.01
824.577, 340.69
824.967, 359.42
825.356, 312.61
825.746, 328.99
826.135, 368.78
826.525, 371.12
826.914, 352.4
827.304, 328.99
827.693, 298.56
828.082, 371.12
828.471, 333.67
828.86, 375.8
829.249, 228.35
829.638, 364.1
830.027, 380.48
830.416, 371.12
830.805, 406.23
831.194, 385.16
831.582, 326.65
831.971, 305.59
832.36, 413.25
832.748, 324.31
833.137, 439
833.525, 368.78
833.914, 357.08
834.302, 354.74
834.69, 305.59
835.078, 303.25
835.466, 328.99
835.854, 336.01
836.243, 289.2
836.63, 314.95
837.018, 319.63
837.406, 293.88
837.794, 312.61
838.182, 354.74
838.569, 366.44
838.957, 321.97
839.345, 357.08
839.732, 338.35
840.12, 298.56
840.507, 350.06
840.894, 343.03
841.282, 410.91
841.669, 336.01
842.056, 326.65
842.443, 338.35
842.83, 305.59
843.217, 340.69
843.604, 354.74
843.991, 293.88
844.378, 345.38
844.764, 347.72
845.151, 394.53
845.538, 331.33
845.924, 328.99
846.311, 387.5
846.697, 331.33
847.084, 354.74
847.47, 296.22
847.856, 378.14
848.242, 296.22
848.629, 263.46
849.015, 317.29
849.401, 403.89
849.787, 380.48
850.173, 263.46
850.559, 326.65
850.944, 303.25
851.33, 382.82
851.716, 338.35
852.102, 340.69
852.487, 359.42
852.873, 328.99
853.258, 331.33
853.644, 345.38
854.029, 338.35
854.414, 361.76
854.799, 345.38
855.185, 286.86
855.57, 303.25
855.955, 406.23
856.34, 371.12
856.725, 307.93
857.11, 319.63
857.495, 366.44
857.879, 272.82
858.264, 300.91
858.649, 303.25
859.033, 415.59
859.418, 331.33
859.802, 265.8
860.187, 331.33
860.571, 258.78
860.955, 300.91
861.34, 417.93
861.724, 389.85
862.108, 338.35
862.492, 314.95
862.876, 321.97
863.26, 352.4
863.644, 310.27
864.028, 350.06
864.412, 394.53
864.795, 296.22
865.179, 319.63
865.563, 270.48
865.946, 291.54
866.33, 275.16
866.713, 352.4
867.097, 289.2
867.48, 307.93
867.863, 261.12
868.246, 277.5
868.629, 314.95
869.013, 424.95
869.396, 289.2
869.779, 321.97
870.161, 296.22
870.544, 277.5
870.927, 343.03
871.31, 406.23
871.693, 366.44
872.075, 347.72
872.458, 296.22
872.84, 357.08
873.223, 357.08
873.605, 373.46
873.987, 368.78
874.37, 338.35
874.752, 298.56
875.134, 289.2
875.516, 331.33
875.898, 366.44
876.28, 307.93
876.662, 307.93
877.044, 298.56
877.426, 254.09
877.807, 336.01
878.189, 340.69
878.571, 350.06
878.952, 317.29
879.334, 228.35
879.715, 293.88
880.097, 310.27
880.478, 338.35
880.859, 303.25
881.24, 380.48
881.622, 314.95
882.003, 373.46
882.384, 382.82
882.765, 286.86
883.146, 296.22
883.526, 347.72
883.907, 298.56
884.288, 368.78
884.669, 305.59
885.049, 338.35
885.43, 293.88
885.81, 284.52
886.191, 343.03
886.571, 272.82
886.952, 326.65
887.332, 324.31
887.712, 361.76
888.092, 258.78
888.472, 331.33
888.852, 373.46
889.232, 324.31
889.612, 366.44
889.992, 291.54
890.372, 338.35
890.752, 289.2
891.131, 352.4
891.511, 373.46
891.89, 396.87
892.27, 326.65
892.649, 293.88
893.029, 319.63
893.408, 265.8
893.787, 352.4
894.167, 293.88
894.546, 291.54
894.925, 307.93
895.304, 347.72
895.683, 380.48
896.062, 394.53
896.441, 270.48
896.819, 284.52
897.198, 429.63
897.577, 314.95
897.955, 336.01
898.334, 340.69
898.712, 310.27
899.091, 321.97
899.469, 347.72
899.848, 303.25
900.226, 300.91
900.604, 345.38
900.982, 300.91
901.36, 279.84
901.738, 263.46
902.116, 359.42
902.494, 317.29
902.872, 336.01
903.25, 354.74
903.628, 354.74
904.005, 263.46
904.383, 368.78
904.76, 340.69
905.138, 387.5
905.515, 321.97
905.893, 317.29
906.27, 319.63
906.647, 357.08
907.024, 282.18
907.402, 328.99
907.779, 326.65
908.156, 289.2
908.533, 307.93
908.91, 378.14
909.286, 336.01
909.663, 312.61
910.04, 293.88
910.417, 326.65
910.793, 296.22
911.17, 350.06
911.546, 328.99
911.923, 296.22
912.299, 312.61
912.675, 272.82
913.051, 366.44
913.428, 336.01
913.804, 305.59
914.18, 357.08
914.556, 345.38
914.932, 298.56
915.308, 340.69
915.683, 333.67
916.059, 378.14
916.435, 321.97
916.811, 387.5
917.186, 328.99
917.562, 305.59
917.937, 366.44
918.313, 258.78
918.688, 277.5
919.063, 340.69
919.438, 277.5
919.814, 359.42
920.189, 314.95
920.564, 240.05
920.939, 324.31
921.314, 272.82
921.689, 319.63
922.063, 197.92
922.438, 324.31
922.813, 333.67
923.187, 326.65
923.562, 233.03
923.936, 326.65
924.311, 282.18
924.685, 305.59
925.06, 331.33
925.434, 317.29
925.808, 340.69
926.182, 326.65
926.556, 328.99
926.93, 277.5
927.304, 326.65
927.678, 380.48
928.052, 331.33
928.426, 331.33
928.8, 249.41
929.173, 378.14
929.547, 328.99
929.92, 385.16
930.294, 282.18
930.667, 272.82
931.041, 291.54
931.414, 303.25
931.787, 373.46
932.161, 354.74
932.534, 340.69
932.907, 354.74
933.28, 291.54
933.653, 321.97
934.026, 265.8
934.398, 347.72
934.771, 340.69
935.144, 275.16
935.517, 371.12
935.889, 328.99
936.262, 312.61
936.634, 291.54
937.007, 333.67
937.379, 314.95
937.751, 336.01
938.123, 291.54
938.496, 336.01
938.868, 343.03
939.24, 343.03
939.612, 307.93
939.984, 275.16
940.355, 303.25
940.727, 352.4
941.099, 286.86
941.471, 321.97
941.842, 305.59
942.214, 291.54
942.585, 324.31
942.957, 361.76
943.328, 324.31
943.7, 310.27
944.071, 336.01
944.442, 305.59
944.813, 282.18
945.184, 338.35
945.555, 312.61
945.926, 256.43
946.297, 319.63
946.668, 345.38
947.039, 336.01
947.409, 375.8
947.78, 305.59
948.151, 293.88
948.521, 321.97
948.892, 364.1
949.262, 340.69
949.633, 333.67
950.003, 314.95
950.373, 319.63
950.743, 293.88
951.113, 286.86
951.483, 357.08
951.853, 347.72
952.223, 326.65
952.593, 305.59
952.963, 268.14
953.333, 321.97
953.702, 350.06
954.072, 307.93
954.442, 371.12
954.811, 254.09
955.181, 319.63
955.55, 314.95
955.919, 354.74
956.289, 338.35
956.658, 354.74
957.027, 317.29
957.396, 268.14
957.765, 359.42
958.134, 270.48
958.503, 289.2
958.872, 293.88
959.24, 371.12
959.609, 324.31
959.978, 354.74
960.346, 326.65
960.715, 244.73
961.083, 254.09
961.452, 310.27
961.82, 350.06
962.188, 336.01
962.557, 331.33
962.925, 382.82
963.293, 321.97
963.661, 305.59
964.029, 378.14
964.397, 286.86
964.765, 336.01
965.133, 286.86
965.5, 291.54
965.868, 403.89
966.236, 305.59
966.603, 345.38
966.971, 361.76
967.338, 279.84
967.706, 345.38
968.073, 347.72
968.44, 298.56
968.807, 366.44
969.174, 312.61
969.542, 303.25
969.909, 336.01
970.275, 312.61
970.642, 289.2
971.009, 254.09
971.376, 319.63
971.743, 312.61
972.109, 300.91
972.476, 396.87
972.842, 373.46
973.209, 303.25
973.575, 319.63
973.942, 321.97
974.308, 333.67
974.674, 321.97
975.04, 328.99
975.406, 326.65
975.772, 352.4
976.138, 328.99
976.504, 249.41
976.87, 275.16
977.236, 336.01
977.602, 300.91
977.967, 218.99
978.333, 361.76
978.698, 385.16
979.064, 340.69
979.429, 307.93
979.795, 357.08
980.16, 286.86
980.525, 336.01
980.89, 347.72
981.255, 336.01
981.621, 326.65
981.986, 328.99
982.35, 378.14
982.715, 270.48
983.08, 336.01
983.445, 345.38
983.81, 256.43
984.174, 296.22
984.539, 326.65
984.903, 340.69
985.268, 331.33
985.632, 338.35
985.996, 296.22
986.361, 307.93
986.725, 324.31
987.089, 436.66
987.453, 336.01
987.817, 371.12
988.181, 378.14
988.545, 314.95
988.909, 333.67
989.272, 336.01
989.636, 286.86
990, 277.5
990.363, 300.91
990.727, 343.03
991.09, 293.88
991.454, 328.99
991.817, 413.25
992.18, 270.48
992.543, 352.4
992.907, 268.14
993.27, 378.14
993.633, 350.06
993.996, 284.52
994.359, 347.72
994.721, 375.8
995.084, 277.5
995.447, 399.21
995.81, 286.86
996.172, 350.06
996.535, 326.65
996.897, 333.67
997.259, 272.82
997.622, 249.41
997.984, 286.86
998.346, 303.25
998.708, 361.76
999.071, 312.61
999.433, 352.4
999.795, 291.54
1000.156, 272.82
1000.518, 300.91
1000.88, 319.63
1001.242, 319.63
1001.603, 293.88
1001.965, 340.69
1002.327, 289.2
1002.688, 326.65
1003.049, 378.14
1003.411, 319.63
1003.772, 319.63
1004.133, 256.43
1004.495, 364.1
1004.856, 399.21
1005.217, 307.93
1005.578, 345.38
1005.939, 230.69
1006.299, 279.84
1006.66, 371.12
1007.021, 256.43
1007.382, 293.88
1007.742, 375.8
1008.103, 364.1
1008.463, 310.27
1008.824, 314.95
1009.184, 314.95
1009.544, 307.93
1009.904, 373.46
1010.265, 312.61
1010.625, 328.99
1010.985, 333.67
1011.345, 293.88
1011.705, 312.61
1012.065, 389.85
1012.424, 350.06
1012.784, 319.63
1013.144, 375.8
1013.503, 286.86
1013.863, 296.22
1014.222, 380.48
1014.582, 326.65
1014.941, 256.43
1015.3, 272.82
1015.66, 319.63
1016.019, 272.82
1016.378, 298.56
1016.737, 310.27
1017.096, 336.01
1017.455, 312.61
1017.814, 345.38
1018.173, 284.52
1018.531, 321.97
1018.89, 317.29
1019.249, 343.03
1019.607, 317.29
1019.966, 343.03
1020.324, 286.86
1020.682, 345.38
1021.041, 375.8
1021.399, 275.16
1021.757, 319.63
1022.115, 385.16
1022.473, 270.48
1022.831, 321.97
1023.189, 310.27
1023.547, 331.33
1023.905, 279.84
1024.263, 359.42
1024.62, 296.22
1024.978, 265.8
1025.335, 347.72
1025.693, 293.88
1026.05, 328.99
1026.408, 324.31
1026.765, 352.4
1027.122, 331.33
1027.479, 319.63
1027.837, 279.84
1028.194, 324.31
1028.551, 314.95
1028.908, 272.82
1029.264, 331.33
1029.621, 303.25
1029.978, 277.5
1030.335, 282.18
1030.691, 326.65
1031.048, 277.5
1031.404, 272.82
1031.761, 366.44
1032.117, 336.01
1032.473, 321.97
1032.83, 319.63
1033.186, 298.56
1033.542, 303.25
1033.898, 326.65
1034.254, 328.99
1034.61, 328.99
1034.966, 328.99
