lambda, Intensity
188.96, -28.38
189.424, -28.38
189.887, -28.38
190.351, -77.53
190.815, -89.23
191.279, -77.53
191.742, -70.51
192.206, -63.49
192.669, -96.25
193.133, -70.51
193.596, -72.85
194.06, 41.84
194.523, -9.65
194.987, -30.72
195.45, -23.7
195.913, 65.24
196.376, 23.11
196.84, 16.09
197.303, 119.07
197.766, 102.69
198.229, 147.16
198.692, 98.01
199.155, 128.44
199.618, 203.33
200.081, 296.96
200.543, 245.46
201.006, 257.17
201.469, 367.17
201.932, 325.04
202.394, 348.45
202.857, 303.98
203.32, 350.79
203.782, 275.89
204.245, 381.21
204.707, 327.38
205.169, 374.19
205.632, 313.34
206.094, 332.06
206.556, 371.85
207.019, 381.21
207.481, 292.27
207.943, 318.02
208.405, 406.96
208.867, 353.13
209.329, 367.17
209.791, 388.24
210.253, 371.85
210.715, 402.28
211.177, 278.23
211.639, 336.74
212.1, 355.47
212.562, 376.53
213.024, 376.53
213.485, 343.77
213.947, 423.34
214.408, 325.04
214.87, 364.83
215.331, 383.56
215.793, 315.68
216.254, 280.57
216.715, 413.98
217.177, 362.49
217.638, 348.45
218.099, 320.36
218.56, 399.94
219.021, 355.47
219.482, 362.49
219.944, 294.61
220.404, 294.61
220.865, 306.32
221.326, 334.4
221.787, 339.09
222.248, 369.51
222.709, 299.3
223.169, 278.23
223.63, 413.98
224.091, 332.06
224.551, 327.38
225.012, 357.81
225.472, 362.49
225.933, 303.98
226.393, 350.79
226.854, 268.87
227.314, 303.98
227.774, 296.96
228.234, 313.34
228.695, 444.41
229.155, 362.49
229.615, 336.74
230.075, 259.51
230.535, 392.92
230.995, 322.7
231.455, 399.94
231.915, 311
232.375, 390.58
232.834, 339.09
233.294, 336.74
233.754, 367.17
234.214, 327.38
234.673, 376.53
235.133, 360.15
235.592, 418.66
236.052, 318.02
236.511, 357.81
236.971, 350.79
237.43, 425.68
237.889, 381.21
238.349, 296.96
238.808, 341.43
239.267, 322.7
239.726, 383.56
240.185, 343.77
240.644, 329.72
241.103, 327.38
241.562, 388.24
242.021, 353.13
242.48, 287.59
242.939, 308.66
243.398, 409.3
243.857, 308.66
244.315, 362.49
244.774, 325.04
245.233, 357.81
245.691, 329.72
246.15, 399.94
246.608, 376.53
247.067, 362.49
247.525, 336.74
247.983, 308.66
248.442, 315.68
248.9, 388.24
249.358, 315.68
249.816, 423.34
250.274, 390.58
250.733, 320.36
251.191, 388.24
251.649, 343.77
252.107, 430.37
252.564, 376.53
253.022, 346.11
253.48, 341.43
253.938, 385.9
254.396, 329.72
254.853, 378.87
255.311, 353.13
255.769, 355.47
256.226, 388.24
256.684, 322.7
257.141, 346.11
257.599, 311
258.056, 315.68
258.513, 266.53
258.971, 318.02
259.428, 385.9
259.885, 355.47
260.342, 334.4
260.799, 364.83
261.256, 357.81
261.714, 360.15
262.171, 371.85
262.627, 376.53
263.084, 404.62
263.541, 308.66
263.998, 322.7
264.455, 371.85
264.912, 332.06
265.368, 383.56
265.825, 381.21
266.281, 397.6
266.738, 296.96
267.194, 322.7
267.651, 432.71
268.107, 353.13
268.564, 336.74
269.02, 362.49
269.476, 364.83
269.933, 346.11
270.389, 339.09
270.845, 325.04
271.301, 278.23
271.757, 353.13
272.213, 348.45
272.669, 332.06
273.125, 367.17
273.581, 339.09
274.037, 311
274.492, 383.56
274.948, 318.02
275.404, 327.38
275.86, 369.51
276.315, 406.96
276.771, 376.53
277.226, 362.49
277.682, 301.64
278.137, 322.7
278.593, 364.83
279.048, 346.11
279.503, 385.9
279.958, 406.96
280.414, 421
280.869, 395.26
281.324, 329.72
281.779, 430.37
282.234, 364.83
282.689, 353.13
283.144, 421
283.599, 360.15
284.054, 413.98
284.508, 437.39
284.963, 334.4
285.418, 353.13
285.873, 327.38
286.327, 355.47
286.782, 428.03
287.236, 353.13
287.691, 367.17
288.145, 329.72
288.6, 367.17
289.054, 296.96
289.508, 376.53
289.963, 336.74
290.417, 416.32
290.871, 378.87
291.325, 395.26
291.779, 388.24
292.233, 371.85
292.687, 280.57
293.141, 294.61
293.595, 402.28
294.049, 364.83
294.503, 301.64
294.957, 418.66
295.41, 355.47
295.864, 348.45
296.318, 404.62
296.771, 416.32
297.225, 357.81
297.678, 362.49
298.132, 346.11
298.585, 336.74
299.039, 289.93
299.492, 332.06
299.945, 362.49
300.398, 390.58
300.852, 395.26
301.305, 399.94
301.758, 313.34
302.211, 343.77
302.664, 409.3
303.117, 360.15
303.57, 395.26
304.023, 294.61
304.476, 423.34
304.928, 442.07
305.381, 322.7
305.834, 341.43
306.286, 364.83
306.739, 374.19
307.192, 332.06
307.644, 327.38
308.097, 411.64
308.549, 306.32
309.001, 348.45
309.454, 439.73
309.906, 329.72
310.358, 395.26
310.81, 367.17
311.263, 406.96
311.715, 390.58
312.167, 346.11
312.619, 322.7
313.071, 341.43
313.523, 411.64
313.975, 371.85
314.426, 357.81
314.878, 425.68
315.33, 444.41
315.782, 339.09
316.233, 428.03
316.685, 346.11
317.136, 360.15
317.588, 369.51
318.039, 463.13
318.491, 343.77
318.942, 381.21
319.393, 406.96
319.845, 430.37
320.296, 406.96
320.747, 399.94
321.198, 404.62
321.649, 402.28
322.101, 325.04
322.552, 360.15
323.003, 371.85
323.453, 378.87
323.904, 409.3
324.355, 451.43
324.806, 449.09
325.257, 353.13
325.707, 453.77
326.158, 428.03
326.609, 411.64
327.059, 385.9
327.51, 399.94
327.96, 374.19
328.411, 409.3
328.861, 437.39
329.311, 388.24
329.762, 423.34
330.212, 362.49
330.662, 456.11
331.112, 390.58
331.562, 411.64
332.012, 369.51
332.462, 357.81
332.912, 423.34
333.362, 334.4
333.812, 446.75
334.262, 421
334.712, 327.38
335.161, 322.7
335.611, 339.09
336.061, 404.62
336.51, 423.34
336.96, 432.71
337.409, 378.87
337.859, 435.05
338.308, 402.28
338.758, 378.87
339.207, 336.74
339.656, 374.19
340.105, 360.15
340.555, 428.03
341.004, 421
341.453, 385.9
341.902, 437.39
342.351, 336.74
342.8, 381.21
343.249, 409.3
343.698, 364.83
344.146, 353.13
344.595, 367.17
345.044, 362.49
345.493, 381.21
345.941, 418.66
346.39, 367.17
346.838, 350.79
347.287, 348.45
347.735, 432.71
348.184, 362.49
348.632, 435.05
349.08, 486.54
349.529, 360.15
349.977, 406.96
350.425, 404.62
350.873, 388.24
351.321, 395.26
351.769, 416.32
352.217, 332.06
352.665, 449.09
353.113, 332.06
353.561, 388.24
354.009, 322.7
354.456, 411.64
354.904, 357.81
355.352, 378.87
355.799, 392.92
356.247, 318.02
356.694, 353.13
357.142, 449.09
357.589, 388.24
358.037, 381.21
358.484, 301.64
358.931, 371.85
359.379, 390.58
359.826, 406.96
360.273, 428.03
360.72, 397.6
361.167, 357.81
361.614, 470.16
362.061, 416.32
362.508, 409.3
362.955, 360.15
363.402, 378.87
363.848, 411.64
364.295, 411.64
364.742, 413.98
365.188, 425.68
365.635, 369.51
366.082, 399.94
366.528, 362.49
366.975, 388.24
367.421, 374.19
367.867, 416.32
368.314, 371.85
368.76, 371.85
369.206, 388.24
369.652, 442.07
370.098, 378.87
370.545, 399.94
370.991, 432.71
371.437, 392.92
371.882, 406.96
372.328, 430.37
372.774, 395.26
373.22, 332.06
373.666, 413.98
374.111, 327.38
374.557, 470.16
375.003, 458.45
375.448, 364.83
375.894, 449.09
376.339, 381.21
376.785, 332.06
377.23, 404.62
377.675, 381.21
378.121, 512.28
378.566, 357.81
379.011, 406.96
379.456, 327.38
379.901, 390.58
380.346, 409.3
380.791, 444.41
381.236, 477.18
381.681, 399.94
382.126, 390.58
382.571, 390.58
383.016, 406.96
383.461, 371.85
383.905, 381.21
384.35, 320.36
384.794, 409.3
385.239, 369.51
385.683, 390.58
386.128, 423.34
386.572, 411.64
387.017, 399.94
387.461, 388.24
387.905, 409.3
388.349, 397.6
388.794, 381.21
389.238, 423.34
389.682, 383.56
390.126, 437.39
390.57, 430.37
391.014, 339.09
391.457, 416.32
391.901, 465.47
392.345, 432.71
392.789, 418.66
393.233, 463.13
393.676, 416.32
394.12, 451.43
394.563, 425.68
395.007, 428.03
395.45, 458.45
395.894, 486.54
396.337, 449.09
396.78, 388.24
397.224, 413.98
397.667, 385.9
398.11, 531.01
398.553, 465.47
398.996, 392.92
399.439, 411.64
399.882, 472.5
400.325, 390.58
400.768, 493.56
401.211, 465.47
401.654, 423.34
402.096, 491.22
402.539, 502.92
402.982, 446.75
403.424, 479.52
403.867, 477.18
404.309, 491.22
404.752, 484.2
405.194, 502.92
405.637, 580.16
406.079, 498.24
406.521, 495.9
406.963, 474.84
407.406, 577.82
407.848, 587.18
408.29, 561.44
408.732, 596.54
409.174, 629.31
409.616, 699.53
410.058, 666.76
410.499, 610.59
410.941, 662.08
411.383, 739.32
411.825, 736.98
412.266, 687.82
412.708, 748.68
413.15, 807.19
413.591, 882.09
414.033, 849.32
414.474, 907.84
414.915, 882.09
415.357, 935.92
415.798, 945.28
416.239, 1003.8
416.68, 1116.14
417.121, 1104.44
417.563, 1069.33
418.004, 1106.78
418.445, 1202.74
418.885, 1235.51
419.326, 1322.11
419.767, 1357.22
420.208, 1399.35
420.649, 1296.36
421.089, 1448.5
421.53, 1478.93
421.971, 1514.03
422.411, 1586.59
422.852, 1591.27
423.292, 1649.79
423.733, 1715.32
424.173, 1682.55
424.613, 1801.92
425.054, 1958.74
425.494, 1942.35
425.934, 1961.08
426.374, 2122.57
426.814, 2204.49
427.254, 2326.2
427.694, 2307.48
428.134, 2349.61
428.574, 2497.06
429.014, 2532.17
429.454, 2696
429.893, 2817.71
430.333, 2782.6
430.773, 2894.95
431.212, 3061.13
431.652, 3049.43
432.091, 3292.84
432.531, 3430.93
432.97, 3538.6
433.41, 3625.2
433.849, 3728.18
434.288, 3653.28
434.727, 4170.54
435.167, 4041.81
435.606, 4348.42
436.045, 4633.97
436.484, 4694.82
436.923, 4975.69
437.362, 5109.1
437.801, 5429.75
438.239, 5614.65
438.678, 5874.45
439.117, 6061.69
439.556, 6433.84
439.994, 6574.27
440.433, 6841.09
440.871, 7231.96
441.31, 7283.45
441.748, 7611.13
442.187, 8051.15
442.625, 8296.91
443.063, 8481.81
443.502, 8849.27
443.94, 9425.04
444.378, 9654.42
444.816, 10007.84
445.254, 10571.91
445.692, 10485.31
446.13, 11044.7
446.568, 11351.31
447.006, 11536.21
447.444, 11636.85
447.881, 12523.91
448.319, 12945.21
448.757, 12788.39
449.194, 13125.43
449.632, 13240.12
450.07, 13525.66
450.507, 13829.93
450.944, 14358.89
451.382, 14054.62
451.819, 14183.35
452.256, 14265.27
452.694, 14468.9
453.131, 14845.73
453.568, 14333.15
454.005, 14630.4
454.442, 14312.08
454.879, 14136.54
455.316, 14124.84
455.753, 13661.41
456.19, 13633.33
456.627, 13675.46
457.063, 13268.2
457.5, 13207.35
457.937, 12722.86
458.373, 12474.76
458.81, 11957.5
459.246, 12030.06
459.683, 11770.26
460.119, 11625.15
460.556, 11674.3
460.992, 11234.28
461.428, 11138.32
461.864, 11276.41
462.301, 10918.31
462.737, 10862.13
463.173, 10768.51
463.609, 10632.76
464.045, 10536.8
464.481, 10293.38
464.917, 10218.49
465.352, 10120.18
465.788, 9865.07
466.224, 10181.04
466.66, 10003.16
467.095, 10007.84
467.531, 9654.42
467.966, 9411
468.402, 9867.41
468.837, 9741.02
469.273, 9663.78
469.708, 9539.73
470.143, 9544.41
470.578, 9621.65
471.014, 9338.44
471.449, 9221.42
471.884, 9443.77
472.319, 9521.01
472.754, 9448.45
473.189, 9343.13
473.624, 9411
474.059, 9027.15
474.493, 9181.63
474.928, 9268.23
475.363, 9509.3
475.797, 9619.31
476.232, 9436.75
476.667, 9429.73
477.101, 9616.97
477.536, 9738.68
477.97, 9675.48
478.404, 9626.33
478.839, 9787.83
479.273, 9806.55
479.707, 10312.11
480.141, 10560.2
480.575, 10372.96
481.009, 10653.83
481.444, 10639.78
481.877, 11178.11
482.311, 11203.85
482.745, 11536.21
483.179, 11512.8
483.613, 11697.7
484.047, 12023.04
484.48, 12196.24
484.914, 12432.63
485.347, 12402.21
485.781, 12905.42
486.214, 13162.88
486.648, 13268.2
487.081, 13413.32
487.515, 13989.09
487.948, 14440.81
488.381, 14391.66
488.814, 14749.76
489.247, 14953.39
489.68, 15409.79
490.113, 15700.02
490.546, 16046.42
490.979, 16308.56
491.412, 16650.28
491.845, 16638.58
492.278, 17415.63
492.711, 17780.76
493.143, 17822.89
493.576, 18616.33
494.009, 18803.57
494.441, 19210.82
494.874, 19276.36
495.306, 19573.61
495.738, 20610.46
496.171, 20203.21
496.603, 21174.53
497.035, 21127.72
497.467, 21675.41
497.9, 22103.73
498.332, 22237.14
498.764, 22686.52
499.196, 23149.95
499.628, 23723.38
500.06, 23908.28
500.491, 24177.44
500.923, 24612.78
501.355, 25087.91
501.787, 25200.26
502.218, 25635.6
502.65, 26232.43
503.081, 26375.2
503.513, 27011.83
503.944, 27039.92
504.376, 27393.34
504.807, 27905.91
505.238, 28179.76
505.67, 28596.37
506.101, 28727.44
506.532, 29225.98
506.963, 29469.39
507.394, 29820.47
507.825, 30033.46
508.256, 30159.85
508.687, 30578.81
509.118, 31557.15
509.549, 31287.99
509.979, 31192.03
510.41, 32416.13
510.841, 32051
511.271, 32015.9
511.702, 32942.75
512.132, 33041.05
512.563, 33984.29
512.993, 33530.22
513.424, 33860.24
513.854, 34169.19
514.284, 34031.1
514.714, 34852.62
515.145, 35173.28
515.575, 35133.49
516.005, 35512.66
516.435, 35292.65
516.865, 35222.43
517.295, 36102.47
517.724, 36275.67
518.154, 36058
518.584, 36879.53
519.014, 36474.62
519.443, 36512.06
519.873, 37071.45
520.303, 37495.09
520.732, 37621.48
521.161, 38026.39
521.591, 38246.4
522.02, 38049.8
522.45, 38148.1
522.879, 38300.23
523.308, 38368.11
523.737, 38693.44
524.166, 38960.26
524.595, 38602.16
525.024, 39341.77
525.453, 39283.26
525.882, 39294.96
526.311, 39283.26
526.74, 39344.11
527.169, 39624.98
527.597, 39809.88
528.026, 39849.67
528.455, 40053.3
528.883, 39770.09
529.312, 40462.89
529.74, 40336.5
530.168, 40631.41
530.597, 40842.06
531.025, 41106.54
531.453, 40820.99
531.882, 40973.13
532.31, 41153.35
532.738, 41104.2
533.166, 41672.95
533.594, 41754.86
534.022, 41712.73
534.45, 42173.82
534.878, 42194.89
535.305, 42031.05
535.733, 42567.03
536.161, 42073.18
536.588, 42534.26
537.016, 42969.6
537.444, 43407.28
537.871, 42749.59
538.299, 43072.59
538.726, 43000.03
539.153, 44153.91
539.581, 43407.28
540.008, 43917.52
540.435, 44064.97
540.862, 43690.49
541.289, 44315.41
541.716, 44240.51
542.143, 43891.77
542.57, 44912.25
542.997, 44612.66
543.424, 45504.4
543.851, 45340.57
544.277, 45513.76
544.704, 45392.06
545.131, 45719.73
545.557, 45738.46
545.984, 45932.72
546.41, 46234.65
546.837, 46239.33
547.263, 46506.15
547.69, 46290.82
548.116, 46875.96
548.542, 47095.97
548.968, 47819.19
549.394, 47713.87
549.82, 47559.39
550.246, 47557.05
550.672, 48205.38
551.098, 48287.3
551.524, 48121.12
551.95, 48666.47
552.376, 48853.71
552.802, 49115.85
553.227, 48830.3
553.653, 49574.59
554.078, 48846.69
554.504, 49778.22
554.929, 49885.89
555.355, 50089.51
555.78, 50428.89
556.206, 50171.43
556.631, 50576.34
557.056, 51028.07
557.481, 50634.86
557.906, 51449.36
558.331, 51161.48
558.756, 51510.22
559.181, 51547.67
559.606, 51383.83
560.031, 52277.91
560.456, 51690.44
560.881, 52289.62
561.305, 52406.64
561.73, 52736.66
562.155, 52603.25
562.579, 52980.07
563.004, 53050.29
563.428, 53328.81
563.853, 53778.2
564.277, 53600.32
564.701, 53600.32
565.126, 53822.67
565.55, 54215.88
565.974, 54501.42
566.398, 54463.97
566.822, 54712.07
567.246, 55519.56
567.67, 55739.57
568.094, 56041.49
568.518, 56200.65
568.941, 56263.85
569.365, 56879.41
569.789, 57106.44
570.213, 57111.12
570.636, 57635.4
571.06, 57686.89
571.483, 58016.91
571.907, 58028.61
572.33, 58625.45
572.753, 58419.48
573.177, 58744.81
573.6, 58637.15
574.023, 59023.34
574.446, 58679.28
574.869, 59109.94
575.292, 59030.36
575.715, 58990.57
576.138, 59023.34
576.561, 59030.36
576.984, 58613.74
577.407, 58873.54
577.829, 58726.09
578.252, 58845.46
578.675, 58475.65
579.097, 58449.91
579.52, 58887.59
579.942, 59011.63
580.364, 58751.83
580.787, 58716.73
581.209, 59013.97
581.631, 58534.17
582.054, 58686.3
582.476, 58840.78
582.898, 59109.94
583.32, 58943.76
583.742, 59023.34
584.164, 58906.31
584.586, 59142.7
585.008, 58936.74
585.429, 59250.37
585.851, 58967.16
586.273, 59077.17
586.694, 59304.2
587.116, 59308.88
587.538, 59418.89
587.959, 59739.54
588.38, 59524.21
588.802, 59795.71
589.223, 60111.69
589.644, 59863.59
590.066, 60135.09
590.487, 60266.16
590.908, 60556.39
591.329, 60654.69
591.75, 60891.08
592.171, 60713.2
592.592, 61265.57
593.013, 61406
593.434, 61445.79
593.854, 61721.97
594.275, 61979.43
594.696, 62185.4
595.116, 62110.5
595.537, 62346.9
595.957, 62293.07
596.378, 62744.79
596.798, 62548.18
597.218, 62800.96
597.639, 62712.02
598.059, 62840.75
598.479, 62793.94
598.899, 62536.48
599.319, 62920.33
599.739, 62679.25
600.159, 62964.8
600.579, 62932.03
600.999, 62555.21
601.419, 62321.15
601.839, 62372.64
602.259, 62253.28
602.678, 61984.11
603.098, 61745.38
603.517, 61581.54
603.937, 61457.49
604.356, 61171.95
604.776, 61118.12
605.195, 60994.07
605.614, 60664.05
606.034, 60750.65
606.453, 60312.97
606.872, 60188.92
607.291, 60074.24
607.71, 59961.89
608.129, 59624.85
608.548, 59365.06
608.967, 59343.99
609.386, 59119.3
609.805, 58431.18
610.223, 58449.91
610.642, 58360.97
611.061, 58417.14
611.479, 57949.03
611.898, 57853.07
612.316, 57104.1
612.735, 57246.87
613.153, 57256.23
613.571, 56507.26
613.99, 56387.89
614.408, 56528.33
614.826, 55959.58
615.244, 55973.62
615.662, 55739.57
616.08, 54985.91
616.498, 54845.48
616.916, 55049.11
617.334, 54180.77
617.752, 54012.25
618.169, 54510.78
618.587, 53864.8
619.005, 53230.51
619.422, 53232.85
619.84, 53209.45
620.257, 53092.42
620.675, 52446.43
621.092, 52341.11
621.509, 52191.31
621.927, 52057.9
622.344, 51629.58
622.761, 51610.86
623.178, 50988.28
623.595, 49939.72
624.012, 49796.95
624.429, 49387.35
624.846, 49537.15
625.263, 48509.65
625.68, 48935.63
626.097, 49190.75
626.513, 48247.51
626.93, 47077.24
627.346, 47578.12
627.763, 47168.52
628.179, 46716.8
628.596, 47053.84
629.012, 46506.15
629.429, 46073.15
629.845, 45270.35
630.261, 45048
630.677, 45146.3
631.093, 44760.11
631.509, 44362.22
631.925, 43997.1
632.341, 43180.25
632.757, 43074.93
633.173, 42637.25
